patient,drug,dose,n_genes_scored,mean_abs_half0,mean_abs_half1,r,control
SYNL13,SYND9,0.05,2000,1.3903,1.3832,0.3478,positive (planted r = 0.5)
SYNL14,SYND0,0.05,2000,1.3564,1.365,0.3314,positive (planted r = 0.5)
SYNL14,SYND1,0.05,2000,1.3393,1.3979,0.3482,positive (planted r = 0.5)
SYNL14,SYND2,0.05,2000,1.3821,1.3778,0.3473,positive (planted r = 0.5)
SYNL14,SYND3,0.05,2000,1.3859,1.3763,0.3121,positive (planted r = 0.5)
SYNL14,SYND4,0.05,2000,1.3981,1.4045,0.3419,positive (planted r = 0.5)
SYNL14,SYND5,0.05,2000,1.4034,1.4509,0.3293,positive (planted r = 0.5)
SYNL14,SYND6,0.05,2000,1.3443,1.3216,0.3363,positive (planted r = 0.5)
SYNL14,SYND7,0.05,2000,1.3899,1.3694,0.3311,positive (planted r = 0.5)
SYNL14,SYND8,0.05,2000,1.3543,1.3713,0.3228,positive (planted r = 0.5)
SYNL14,SYND9,0.05,2000,1.3605,1.3483,0.3356,positive (planted r = 0.5)
SYNL15,SYND0,0.05,2000,1.4375,1.4149,0.3643,positive (planted r = 0.5)
SYNL15,SYND1,0.05,2000,1.3769,1.372,0.351,positive (planted r = 0.5)
SYNL15,SYND2,0.05,2000,1.3763,1.3621,0.3352,positive (planted r = 0.5)
SYNL15,SYND3,0.05,2000,1.3442,1.4071,0.345,positive (planted r = 0.5)
SYNL15,SYND4,0.05,2000,1.3867,1.3791,0.3458,positive (planted r = 0.5)
SYNL15,SYND5,0.05,2000,1.3625,1.3524,0.3434,positive (planted r = 0.5)
SYNL15,SYND6,0.05,2000,1.3805,1.3746,0.3394,positive (planted r = 0.5)
SYNL15,SYND7,0.05,2000,1.3615,1.3887,0.3149,positive (planted r = 0.5)
SYNL15,SYND8,0.05,2000,1.3507,1.4299,0.3459,positive (planted r = 0.5)
SYNL15,SYND9,0.05,2000,1.4131,1.4267,0.3365,positive (planted r = 0.5)
SYNL16,SYND0,0.05,2000,1.3566,1.3868,0.3533,positive (planted r = 0.5)
SYNL16,SYND1,0.05,2000,1.3615,1.4024,0.3151,positive (planted r = 0.5)
SYNL16,SYND2,0.05,2000,1.3929,1.3869,0.3455,positive (planted r = 0.5)
SYNL16,SYND3,0.05,2000,1.3353,1.3659,0.3157,positive (planted r = 0.5)
SYNL16,SYND4,0.05,2000,1.3891,1.3376,0.3379,positive (planted r = 0.5)
SYNL16,SYND5,0.05,2000,1.3884,1.3887,0.2856,positive (planted r = 0.5)
SYNL16,SYND6,0.05,2000,1.3678,1.3669,0.3443,positive (planted r = 0.5)
SYNL16,SYND7,0.05,2000,1.3827,1.414,0.3923,positive (planted r = 0.5)
SYNL16,SYND8,0.05,2000,1.398,1.3705,0.3978,positive (planted r = 0.5)
SYNL16,SYND9,0.05,2000,1.3865,1.4004,0.3132,positive (planted r = 0.5)
SYNL17,SYND0,0.05,2000,1.3308,1.335,0.3306,positive (planted r = 0.5)
SYNL17,SYND1,0.05,2000,1.3772,1.3735,0.2835,positive (planted r = 0.5)
SYNL17,SYND2,0.05,2000,1.3842,1.3762,0.307,positive (planted r = 0.5)
SYNL17,SYND3,0.05,2000,1.3974,1.3772,0.3437,positive (planted r = 0.5)
SYNL17,SYND4,0.05,2000,1.3902,1.3431,0.3558,positive (planted r = 0.5)
SYNL17,SYND5,0.05,2000,1.3945,1.3817,0.3156,positive (planted r = 0.5)
SYNL17,SYND6,0.05,2000,1.3691,1.3714,0.3607,positive (planted r = 0.5)
SYNL17,SYND7,0.05,2000,1.4061,1.3464,0.3325,positive (planted r = 0.5)
SYNL17,SYND8,0.05,2000,1.381,1.3898,0.3199,positive (planted r = 0.5)
SYNL17,SYND9,0.05,2000,1.358,1.4097,0.3523,positive (planted r = 0.5)
SYNL18,SYND0,0.05,2000,1.3488,1.3754,0.3433,positive (planted r = 0.5)
SYNL18,SYND1,0.05,2000,1.3771,1.3864,0.2944,positive (planted r = 0.5)
SYNL18,SYND2,0.05,2000,1.4179,1.3238,0.3633,positive (planted r = 0.5)
SYNL18,SYND3,0.05,2000,1.3761,1.4284,0.3688,positive (planted r = 0.5)
SYNL18,SYND4,0.05,2000,1.423,1.3832,0.3417,positive (planted r = 0.5)
SYNL18,SYND5,0.05,2000,1.385,1.3682,0.3453,positive (planted r = 0.5)
SYNL18,SYND6,0.05,2000,1.4129,1.3917,0.3458,positive (planted r = 0.5)
SYNL18,SYND7,0.05,2000,1.3744,1.3861,0.3263,positive (planted r = 0.5)
SYNL18,SYND8,0.05,2000,1.4069,1.3981,0.3228,positive (planted r = 0.5)
SYNL18,SYND9,0.05,2000,1.402,1.3902,0.3486,positive (planted r = 0.5)
SYNL19,SYND0,0.05,2000,1.3942,1.3909,0.3479,positive (planted r = 0.5)
SYNL19,SYND1,0.05,2000,1.3858,1.3594,0.3558,positive (planted r = 0.5)
SYNL19,SYND2,0.05,2000,1.3363,1.4102,0.3278,positive (planted r = 0.5)
SYNL19,SYND3,0.05,2000,1.3724,1.3782,0.3346,positive (planted r = 0.5)
SYNL19,SYND4,0.05,2000,1.3909,1.3766,0.3298,positive (planted r = 0.5)
SYNL19,SYND5,0.05,2000,1.3888,1.3702,0.3374,positive (planted r = 0.5)
SYNL19,SYND6,0.05,2000,1.3451,1.3799,0.3251,positive (planted r = 0.5)
SYNL19,SYND7,0.05,2000,1.3648,1.3906,0.3358,positive (planted r = 0.5)
SYNL19,SYND8,0.05,2000,1.4019,1.3621,0.3353,positive (planted r = 0.5)
SYNL19,SYND9,0.05,2000,1.3477,1.4081,0.3335,positive (planted r = 0.5)
SYNL2,SYND0,0.05,2000,1.3884,1.4169,0.3442,positive (planted r = 0.5)
SYNL2,SYND1,0.05,2000,1.3838,1.3999,0.3354,positive (planted r = 0.5)
SYNL2,SYND2,0.05,2000,1.35,1.3915,0.3431,positive (planted r = 0.5)
SYNL2,SYND3,0.05,2000,1.3855,1.355,0.3114,positive (planted r = 0.5)
SYNL2,SYND4,0.05,2000,1.3752,1.3895,0.3675,positive (planted r = 0.5)
SYNL2,SYND5,0.05,2000,1.3781,1.3299,0.3281,positive (planted r = 0.5)
SYNL2,SYND6,0.05,2000,1.3643,1.3753,0.3563,positive (planted r = 0.5)
SYNL2,SYND7,0.05,2000,1.3849,1.3767,0.3411,positive (planted r = 0.5)
SYNL2,SYND8,0.05,2000,1.367,1.3912,0.3208,positive (planted r = 0.5)
SYNL2,SYND9,0.05,2000,1.3705,1.399,0.3285,positive (planted r = 0.5)
SYNL3,SYND0,0.05,2000,1.37,1.3825,0.3261,positive (planted r = 0.5)
SYNL3,SYND1,0.05,2000,1.4006,1.3259,0.335,positive (planted r = 0.5)
SYNL3,SYND2,0.05,2000,1.3357,1.3885,0.3099,positive (planted r = 0.5)
SYNL3,SYND3,0.05,2000,1.4227,1.395,0.3711,positive (planted r = 0.5)
SYNL3,SYND4,0.05,2000,1.3485,1.3765,0.3197,positive (planted r = 0.5)
SYNL3,SYND5,0.05,2000,1.3607,1.3862,0.2874,positive (planted r = 0.5)
SYNL3,SYND6,0.05,2000,1.3573,1.4107,0.3056,positive (planted r = 0.5)
SYNL3,SYND7,0.05,2000,1.3896,1.3802,0.3397,positive (planted r = 0.5)
SYNL3,SYND8,0.05,2000,1.3687,1.3687,0.3069,positive (planted r = 0.5)
SYNL3,SYND9,0.05,2000,1.4072,1.4083,0.3556,positive (planted r = 0.5)
SYNL4,SYND0,0.05,2000,1.399,1.3986,0.339,positive (planted r = 0.5)
SYNL4,SYND1,0.05,2000,1.3448,1.3673,0.308,positive (planted r = 0.5)
SYNL4,SYND2,0.05,2000,1.4009,1.3862,0.3431,positive (planted r = 0.5)
SYNL4,SYND3,0.05,2000,1.4233,1.3596,0.3182,positive (planted r = 0.5)
SYNL4,SYND4,0.05,2000,1.3757,1.3679,0.3254,positive (planted r = 0.5)
SYNL4,SYND5,0.05,2000,1.3768,1.3704,0.3032,positive (planted r = 0.5)
SYNL4,SYND6,0.05,2000,1.382,1.3666,0.3123,positive (planted r = 0.5)
SYNL4,SYND7,0.05,2000,1.3596,1.3918,0.3433,positive (planted r = 0.5)
SYNL4,SYND8,0.05,2000,1.3693,1.3758,0.3094,positive (planted r = 0.5)
SYNL4,SYND9,0.05,2000,1.3779,1.3832,0.3178,positive (planted r = 0.5)
SYNL5,SYND0,0.05,2000,1.39,1.3479,0.3316,positive (planted r = 0.5)
SYNL5,SYND1,0.05,2000,1.3829,1.3838,0.3406,positive (planted r = 0.5)
SYNL5,SYND2,0.05,2000,1.3875,1.3745,0.3388,positive (planted r = 0.5)
SYNL5,SYND3,0.05,2000,1.3599,1.3911,0.3414,positive (planted r = 0.5)
SYNL5,SYND4,0.05,2000,1.3595,1.3478,0.2972,positive (planted r = 0.5)
SYNL5,SYND5,0.05,2000,1.3739,1.4059,0.3196,positive (planted r = 0.5)
SYNL5,SYND6,0.05,2000,1.3545,1.3807,0.2934,positive (planted r = 0.5)
SYNL5,SYND7,0.05,2000,1.3585,1.4453,0.3187,positive (planted r = 0.5)
SYNL5,SYND8,0.05,2000,1.4119,1.3646,0.3125,positive (planted r = 0.5)
SYNL5,SYND9,0.05,2000,1.3964,1.3753,0.3499,positive (planted r = 0.5)
SYNL6,SYND0,0.05,2000,1.3796,1.3706,0.3128,positive (planted r = 0.5)
SYNL6,SYND1,0.05,2000,1.4046,1.3679,0.3568,positive (planted r = 0.5)
SYNL6,SYND2,0.05,2000,1.3646,1.4119,0.3605,positive (planted r = 0.5)
SYNL6,SYND3,0.05,2000,1.3936,1.3828,0.3148,positive (planted r = 0.5)
SYNL6,SYND4,0.05,2000,1.3951,1.367,0.3442,positive (planted r = 0.5)
SYNL6,SYND5,0.05,2000,1.4048,1.3959,0.3166,positive (planted r = 0.5)
SYNL6,SYND6,0.05,2000,1.3797,1.424,0.3329,positive (planted r = 0.5)
SYNL6,SYND7,0.05,2000,1.397,1.3653,0.3277,positive (planted r = 0.5)
SYNL6,SYND8,0.05,2000,1.3825,1.4303,0.3441,positive (planted r = 0.5)
SYNL6,SYND9,0.05,2000,1.3878,1.3654,0.3573,positive (planted r = 0.5)
SYNL7,SYND0,0.05,2000,1.359,1.3832,0.3212,positive (planted r = 0.5)
SYNL7,SYND1,0.05,2000,1.3762,1.3765,0.3744,positive (planted r = 0.5)
SYNL7,SYND2,0.05,2000,1.3564,1.3929,0.3597,positive (planted r = 0.5)
SYNL7,SYND3,0.05,2000,1.3946,1.4136,0.3855,positive (planted r = 0.5)
SYNL7,SYND4,0.05,2000,1.352,1.3789,0.345,positive (planted r = 0.5)
SYNL7,SYND5,0.05,2000,1.3591,1.4118,0.324,positive (planted r = 0.5)
SYNL7,SYND6,0.05,2000,1.3814,1.3848,0.3094,positive (planted r = 0.5)
SYNL7,SYND7,0.05,2000,1.3601,1.382,0.3231,positive (planted r = 0.5)
SYNL7,SYND8,0.05,2000,1.3743,1.3895,0.3115,positive (planted r = 0.5)
SYNL7,SYND9,0.05,2000,1.3746,1.4012,0.3145,positive (planted r = 0.5)
SYNL8,SYND0,0.05,2000,1.3911,1.4502,0.3719,positive (planted r = 0.5)
SYNL8,SYND1,0.05,2000,1.368,1.3323,0.3024,positive (planted r = 0.5)
SYNL8,SYND2,0.05,2000,1.4341,1.3595,0.342,positive (planted r = 0.5)
SYNL8,SYND3,0.05,2000,1.3937,1.3814,0.3685,positive (planted r = 0.5)
SYNL8,SYND4,0.05,2000,1.4192,1.3953,0.3248,positive (planted r = 0.5)
SYNL8,SYND5,0.05,2000,1.3906,1.3878,0.3074,positive (planted r = 0.5)
SYNL8,SYND6,0.05,2000,1.3503,1.3493,0.3186,positive (planted r = 0.5)
SYNL8,SYND7,0.05,2000,1.3396,1.384,0.3369,positive (planted r = 0.5)
SYNL8,SYND8,0.05,2000,1.3488,1.3464,0.3365,positive (planted r = 0.5)
SYNL8,SYND9,0.05,2000,1.399,1.414,0.3047,positive (planted r = 0.5)
SYNL9,SYND0,0.05,2000,1.3969,1.3529,0.3495,positive (planted r = 0.5)
SYNL9,SYND1,0.05,2000,1.3372,1.3952,0.3361,positive (planted r = 0.5)
SYNL9,SYND2,0.05,2000,1.3686,1.368,0.3559,positive (planted r = 0.5)
SYNL9,SYND3,0.05,2000,1.3973,1.3807,0.3468,positive (planted r = 0.5)
SYNL9,SYND4,0.05,2000,1.3606,1.3843,0.315,positive (planted r = 0.5)
SYNL9,SYND5,0.05,2000,1.3716,1.3563,0.3215,positive (planted r = 0.5)
SYNL9,SYND6,0.05,2000,1.4132,1.4061,0.3233,positive (planted r = 0.5)
SYNL9,SYND7,0.05,2000,1.3597,1.3764,0.3207,positive (planted r = 0.5)
SYNL9,SYND8,0.05,2000,1.3695,1.3623,0.3327,positive (planted r = 0.5)
SYNL9,SYND9,0.05,2000,1.4093,1.3766,0.3413,positive (planted r = 0.5)
SYNL0,SYND0,0.05,2000,0.5536,0.5628,-0.015,negative (no signal)
SYNL0,SYND1,0.05,2000,0.5657,0.5713,-0.0046,negative (no signal)
SYNL0,SYND2,0.05,2000,0.5642,0.5603,0.0173,negative (no signal)
SYNL0,SYND3,0.05,2000,0.5554,0.5803,0.0347,negative (no signal)
SYNL0,SYND4,0.05,2000,0.5682,0.5733,-0.0277,negative (no signal)
SYNL0,SYND5,0.05,2000,0.5732,0.5562,0.0077,negative (no signal)
SYNL0,SYND6,0.05,2000,0.5843,0.5549,-0.002,negative (no signal)
SYNL0,SYND7,0.05,2000,0.5445,0.5695,0.0064,negative (no signal)
SYNL0,SYND8,0.05,2000,0.565,0.5622,-0.0151,negative (no signal)
SYNL0,SYND9,0.05,2000,0.5749,0.5541,0.023,negative (no signal)
SYNL1,SYND0,0.05,2000,0.5628,0.5541,0.0012,negative (no signal)
SYNL1,SYND1,0.05,2000,0.549,0.5535,-0.0365,negative (no signal)
SYNL1,SYND2,0.05,2000,0.5598,0.5615,-0.0168,negative (no signal)
SYNL1,SYND3,0.05,2000,0.5481,0.5618,-0.0064,negative (no signal)
SYNL1,SYND4,0.05,2000,0.5505,0.5782,0.01,negative (no signal)
SYNL1,SYND5,0.05,2000,0.5648,0.5525,-0.0309,negative (no signal)
SYNL1,SYND6,0.05,2000,0.5688,0.5655,-0.0269,negative (no signal)
SYNL1,SYND7,0.05,2000,0.573,0.5417,0.0109,negative (no signal)
SYNL1,SYND8,0.05,2000,0.5735,0.5531,0.0014,negative (no signal)
SYNL1,SYND9,0.05,2000,0.568,0.5556,0.0069,negative (no signal)
SYNL10,SYND0,0.05,2000,0.5735,0.5699,-0.0455,negative (no signal)
SYNL10,SYND1,0.05,2000,0.5684,0.5631,0.0148,negative (no signal)
SYNL10,SYND2,0.05,2000,0.5606,0.5761,-0.033,negative (no signal)
SYNL10,SYND3,0.05,2000,0.5571,0.5628,-0.0158,negative (no signal)
SYNL10,SYND4,0.05,2000,0.5649,0.5644,-0.0023,negative (no signal)
SYNL10,SYND5,0.05,2000,0.5717,0.5648,0.0128,negative (no signal)
SYNL10,SYND6,0.05,2000,0.5625,0.5597,-0.0274,negative (no signal)
SYNL10,SYND7,0.05,2000,0.5675,0.5627,-0.0089,negative (no signal)
SYNL10,SYND8,0.05,2000,0.5826,0.5674,-0.0148,negative (no signal)
SYNL10,SYND9,0.05,2000,0.568,0.5671,-0.0388,negative (no signal)
SYNL11,SYND0,0.05,2000,0.5477,0.5666,-0.0087,negative (no signal)
SYNL11,SYND1,0.05,2000,0.5751,0.5647,-0.018,negative (no signal)
SYNL11,SYND2,0.05,2000,0.5578,0.5562,-0.0038,negative (no signal)
SYNL11,SYND3,0.05,2000,0.5723,0.5494,0.0069,negative (no signal)
SYNL11,SYND4,0.05,2000,0.5851,0.5695,0.0117,negative (no signal)
SYNL11,SYND5,0.05,2000,0.5649,0.5738,-0.0189,negative (no signal)
SYNL11,SYND6,0.05,2000,0.565,0.574,-0.0047,negative (no signal)
SYNL11,SYND7,0.05,2000,0.5575,0.5631,0.0022,negative (no signal)
SYNL11,SYND8,0.05,2000,0.5709,0.5672,0.0075,negative (no signal)
SYNL11,SYND9,0.05,2000,0.55,0.5594,-0.0249,negative (no signal)
SYNL12,SYND0,0.05,2000,0.5659,0.5695,0.0208,negative (no signal)
SYNL12,SYND1,0.05,2000,0.5663,0.5624,0.012,negative (no signal)
SYNL12,SYND2,0.05,2000,0.557,0.5399,0.0014,negative (no signal)
SYNL12,SYND3,0.05,2000,0.5626,0.5631,0.015,negative (no signal)
SYNL12,SYND4,0.05,2000,0.5643,0.5572,-0.0259,negative (no signal)
SYNL12,SYND5,0.05,2000,0.5689,0.5516,-0.0233,negative (no signal)
SYNL12,SYND6,0.05,2000,0.5679,0.5547,0.0023,negative (no signal)
SYNL12,SYND7,0.05,2000,0.5727,0.5576,0.0078,negative (no signal)
SYNL12,SYND8,0.05,2000,0.565,0.5563,0.0088,negative (no signal)
SYNL12,SYND9,0.05,2000,0.5604,0.56,-0.0213,negative (no signal)
SYNL13,SYND0,0.05,2000,0.5685,0.5721,-0.0156,negative (no signal)
SYNL13,SYND1,0.05,2000,0.5504,0.5781,-0.0418,negative (no signal)
SYNL13,SYND2,0.05,2000,0.5597,0.5702,0.0321,negative (no signal)
SYNL13,SYND3,0.05,2000,0.5591,0.5539,0.0239,negative (no signal)
SYNL13,SYND4,0.05,2000,0.5519,0.558,-0.0194,negative (no signal)
SYNL13,SYND5,0.05,2000,0.5557,0.5733,0.0061,negative (no signal)
SYNL13,SYND6,0.05,2000,0.5791,0.5449,0.0514,negative (no signal)
SYNL13,SYND7,0.05,2000,0.5676,0.5954,0.0162,negative (no signal)
SYNL13,SYND8,0.05,2000,0.572,0.5682,0.0238,negative (no signal)
SYNL13,SYND9,0.05,2000,0.554,0.5629,-0.0008,negative (no signal)
SYNL14,SYND0,0.05,2000,0.5628,0.5742,0.0163,negative (no signal)
SYNL14,SYND1,0.05,2000,0.5639,0.567,0.0295,negative (no signal)
SYNL14,SYND2,0.05,2000,0.5596,0.5561,-0.0059,negative (no signal)
SYNL14,SYND3,0.05,2000,0.5625,0.5569,0.0196,negative (no signal)
SYNL14,SYND4,0.05,2000,0.555,0.5631,0.0002,negative (no signal)
SYNL14,SYND5,0.05,2000,0.563,0.5711,0.0014,negative (no signal)
SYNL14,SYND6,0.05,2000,0.5587,0.5696,0.0097,negative (no signal)
SYNL14,SYND7,0.05,2000,0.5731,0.5692,0.0371,negative (no signal)
SYNL14,SYND8,0.05,2000,0.5675,0.5696,-0.0034,negative (no signal)
SYNL14,SYND9,0.05,2000,0.5669,0.5664,0.0104,negative (no signal)
SYNL15,SYND0,0.05,2000,0.5641,0.5695,0.0303,negative (no signal)
SYNL15,SYND1,0.05,2000,0.5629,0.5593,0.0207,negative (no signal)
SYNL15,SYND2,0.05,2000,0.5812,0.5493,-0.0058,negative (no signal)
SYNL15,SYND3,0.05,2000,0.5527,0.5611,-0.0305,negative (no signal)
SYNL15,SYND4,0.05,2000,0.5575,0.5538,-0.0076,negative (no signal)
SYNL15,SYND5,0.05,2000,0.562,0.5611,0.0002,negative (no signal)
SYNL15,SYND6,0.05,2000,0.5552,0.5607,0.021,negative (no signal)
SYNL15,SYND7,0.05,2000,0.5818,0.5619,-0.0067,negative (no signal)
SYNL15,SYND8,0.05,2000,0.5618,0.5676,-0.0088,negative (no signal)
SYNL15,SYND9,0.05,2000,0.5394,0.5634,0.0252,negative (no signal)
SYNL16,SYND0,0.05,2000,0.5563,0.5731,-0.0186,negative (no signal)
SYNL16,SYND1,0.05,2000,0.5504,0.573,0.0249,negative (no signal)
SYNL16,SYND2,0.05,2000,0.5664,0.5683,-0.0157,negative (no signal)
SYNL16,SYND3,0.05,2000,0.5716,0.568,0.0467,negative (no signal)
SYNL16,SYND4,0.05,2000,0.5564,0.5742,0.014,negative (no signal)
SYNL16,SYND5,0.05,2000,0.5587,0.5536,0.0118,negative (no signal)
SYNL16,SYND6,0.05,2000,0.5558,0.5546,-0.0345,negative (no signal)
SYNL16,SYND7,0.05,2000,0.5787,0.5714,0.0192,negative (no signal)
SYNL16,SYND8,0.05,2000,0.5568,0.5817,-0.0155,negative (no signal)
SYNL16,SYND9,0.05,2000,0.5668,0.5645,0.0429,negative (no signal)
SYNL17,SYND0,0.05,2000,0.5561,0.5704,0.0087,negative (no signal)
SYNL17,SYND1,0.05,2000,0.5548,0.5565,0.0318,negative (no signal)
SYNL17,SYND2,0.05,2000,0.5539,0.552,0.0121,negative (no signal)
SYNL17,SYND3,0.05,2000,0.5672,0.5683,0.0062,negative (no signal)
SYNL17,SYND4,0.05,2000,0.5636,0.5613,-0.0532,negative (no signal)
SYNL17,SYND5,0.05,2000,0.5544,0.5703,0.0136,negative (no signal)
SYNL17,SYND6,0.05,2000,0.5664,0.5526,-0.0195,negative (no signal)
SYNL17,SYND7,0.05,2000,0.5608,0.5613,-0.0547,negative (no signal)
SYNL17,SYND8,0.05,2000,0.5596,0.5432,-0.0101,negative (no signal)
SYNL17,SYND9,0.05,2000,0.5791,0.5788,-0.0139,negative (no signal)
SYNL18,SYND0,0.05,2000,0.5605,0.5577,-0.0248,negative (no signal)
SYNL18,SYND1,0.05,2000,0.5599,0.5537,0.0178,negative (no signal)
SYNL18,SYND2,0.05,2000,0.5518,0.5549,0.0139,negative (no signal)
SYNL18,SYND3,0.05,2000,0.5655,0.5754,-0.0314,negative (no signal)
SYNL18,SYND4,0.05,2000,0.5476,0.5711,0.012,negative (no signal)
SYNL18,SYND5,0.05,2000,0.5684,0.5627,0.0136,negative (no signal)
SYNL18,SYND6,0.05,2000,0.5733,0.5512,0.0104,negative (no signal)
SYNL18,SYND7,0.05,2000,0.5783,0.5473,0.0078,negative (no signal)
SYNL18,SYND8,0.05,2000,0.5458,0.5636,0.0468,negative (no signal)
SYNL18,SYND9,0.05,2000,0.5575,0.5652,-0.0165,negative (no signal)
SYNL19,SYND0,0.05,2000,0.5681,0.5547,0.0201,negative (no signal)
SYNL19,SYND1,0.05,2000,0.5682,0.5742,0.0005,negative (no signal)
SYNL19,SYND2,0.05,2000,0.5689,0.5604,0.0125,negative (no signal)
SYNL19,SYND3,0.05,2000,0.5568,0.5711,0.0197,negative (no signal)
SYNL19,SYND4,0.05,2000,0.5692,0.5655,-0.0109,negative (no signal)
SYNL19,SYND5,0.05,2000,0.567,0.5452,0.0002,negative (no signal)
