stratum,r,gene_set,dose
any_pair,0.1842,all,0.05
any_pair,0.0265,all,0.05
any_pair,0.0001,all,0.05
any_pair,0.0071,all,0.05
any_pair,0.0043,all,0.05
any_pair,0.0375,all,0.05
any_pair,-0.0003,all,0.05
any_pair,0.0237,all,0.05
any_pair,0.0165,all,0.05
any_pair,0.0389,all,0.05
any_pair,0.0044,all,0.05
any_pair,0.0196,all,0.05
any_pair,-0.0026,all,0.05
any_pair,0.0264,all,0.05
any_pair,0.0727,all,0.05
any_pair,-0.0238,all,0.05
any_pair,0.0297,all,0.05
any_pair,0.006,all,0.05
any_pair,0.0624,all,0.05
any_pair,0.0392,all,0.05
any_pair,0.0422,all,0.05
any_pair,0.0201,all,0.05
any_pair,0.0073,all,0.05
any_pair,0.1954,all,0.05
any_pair,0.0812,all,0.05
any_pair,0.0462,all,0.05
any_pair,0.0494,all,0.05
any_pair,0.0264,all,0.05
any_pair,0.0363,all,0.05
any_pair,0.0124,all,0.05
any_pair,0.0082,all,0.05
any_pair,0.0425,all,0.05
any_pair,0.0386,all,0.05
any_pair,0.0827,all,0.05
any_pair,0.0525,all,0.05
any_pair,-0.0127,all,0.05
any_pair,0.0169,all,0.05
any_pair,0.0631,all,0.05
any_pair,0.0442,all,0.05
any_pair,-0.0226,all,0.05
any_pair,-0.0025,all,0.05
any_pair,0.004,all,0.05
any_pair,-0.0199,all,0.05
any_pair,0.0225,all,0.05
any_pair,0.0339,all,0.05
any_pair,-0.0089,all,0.05
any_pair,-0.0257,all,0.05
any_pair,0.0159,all,0.05
any_pair,0.0338,all,0.05
any_pair,-0.0246,all,0.05
any_pair,-0.0057,all,0.05
any_pair,0.0238,all,0.05
any_pair,-0.0079,all,0.05
any_pair,-0.0012,all,0.05
any_pair,0.0379,all,0.05
any_pair,0.0544,all,0.05
any_pair,0.0127,all,0.05
any_pair,0.0031,all,0.05
any_pair,0.034,all,0.05
any_pair,0.0236,all,0.05
any_pair,0.0274,all,0.05
any_pair,0.0199,all,0.05
any_pair,-0.0175,all,0.05
any_pair,-0.0063,all,0.05
any_pair,0.0067,all,0.05
any_pair,-0.0008,all,0.05
any_pair,0.0043,all,0.05
any_pair,0.0389,all,0.05
any_pair,-0.0154,all,0.05
any_pair,0.0117,all,0.05
any_pair,-0.0038,all,0.05
any_pair,-0.0059,all,0.05
any_pair,-0.0173,all,0.05
any_pair,0.0066,all,0.05
any_pair,0.0161,all,0.05
any_pair,0.0218,all,0.05
any_pair,0.0384,all,0.05
any_pair,0.0474,all,0.05
any_pair,0.0316,all,0.05
any_pair,-0.0096,all,0.05
any_pair,-0.0054,all,0.05
any_pair,-0.0081,all,0.05
any_pair,-0.0127,all,0.05
any_pair,0.0541,all,0.05
any_pair,0.0248,all,0.05
any_pair,0.0277,all,0.05
any_pair,0.0166,all,0.05
any_pair,-0.021,all,0.05
any_pair,0.0322,all,0.05
any_pair,-0.0466,all,0.05
any_pair,0.0011,all,0.05
any_pair,0.0094,all,0.05
any_pair,-0.0016,all,0.05
any_pair,0.0168,all,0.05
any_pair,0.0008,all,0.05
any_pair,0.041,all,0.05
any_pair,-0.0219,all,0.05
any_pair,0.0176,all,0.05
any_pair,-0.0174,all,0.05
any_pair,-0.0065,all,0.05
any_pair,0.009,all,0.05
any_pair,0.1444,all,0.05
any_pair,0.0494,all,0.05
any_pair,0.0842,all,0.05
any_pair,0.0069,all,0.05
any_pair,0.026,all,0.05
any_pair,0.0084,all,0.05
any_pair,0.0052,all,0.05
any_pair,-0.0206,all,0.05
any_pair,0.0215,all,0.05
any_pair,0.0366,all,0.05
any_pair,-0.021,all,0.05
any_pair,0.0291,all,0.05
any_pair,0.0108,all,0.05
any_pair,-0.0069,all,0.05
any_pair,-0.0052,all,0.05
any_pair,0.0113,all,0.05
any_pair,-0.0206,all,0.05
any_pair,-0.0087,all,0.05
any_pair,-0.0146,all,0.05
any_pair,0.0256,all,0.05
any_pair,0.0751,all,0.05
any_pair,0.0265,all,0.05
any_pair,-0.004,all,0.05
any_pair,-0.0004,all,0.05
any_pair,0.0055,all,0.05
any_pair,0.0104,all,0.05
any_pair,-0.0279,all,0.05
any_pair,0.0228,all,0.05
any_pair,0.0338,all,0.05
any_pair,-0.0044,all,0.05
any_pair,0.0177,all,0.05
any_pair,0.0185,all,0.05
any_pair,-0.0051,all,0.05
any_pair,0.0293,all,0.05
any_pair,0.0103,all,0.05
any_pair,0.0123,all,0.05
any_pair,0.0441,all,0.05
any_pair,0.0097,all,0.05
any_pair,0.0083,all,0.05
any_pair,-0.0278,all,0.05
any_pair,0.0775,all,0.05
any_pair,0.036,all,0.05
any_pair,-0.0002,all,0.05
any_pair,-0.0017,all,0.05
any_pair,0.0336,all,0.05
any_pair,0.0177,all,0.05
any_pair,0.0196,all,0.05
any_pair,0.023,all,0.05
any_pair,0.0301,all,0.05
any_pair,-0.0247,all,0.05
any_pair,-0.0121,all,0.05
any_pair,-0.0004,all,0.05
any_pair,0.0031,all,0.05
any_pair,0.0308,all,0.05
any_pair,0.0188,all,0.05
any_pair,0.0102,all,0.05
any_pair,-0.01,all,0.05
any_pair,0.0132,all,0.05
any_pair,0.0373,all,0.05
any_pair,0.0187,all,0.05
any_pair,0.0175,all,0.05
any_pair,0.0112,all,0.05
any_pair,0.0442,all,0.05
any_pair,-0.0259,all,0.05
any_pair,-0.0451,all,0.05
any_pair,0.0048,all,0.05
any_pair,0.0214,all,0.05
any_pair,0.0082,all,0.05
any_pair,0.0359,all,0.05
any_pair,0.0156,all,0.05
any_pair,0.0064,all,0.05
any_pair,0.0225,all,0.05
any_pair,0.0895,all,0.05
any_pair,0.0157,all,0.05
any_pair,-0.0116,all,0.05
any_pair,-0.0101,all,0.05
any_pair,0.0404,all,0.05
any_pair,-0.0351,all,0.05
any_pair,0.011,all,0.05
any_pair,0.0223,all,0.05
any_pair,0.0868,all,0.05
any_pair,0.0512,all,0.05
any_pair,0.0192,all,0.05
any_pair,-0.0123,all,0.05
any_pair,0.0107,all,0.05
any_pair,0.0183,all,0.05
any_pair,0.0281,all,0.05
any_pair,0.0077,all,0.05
any_pair,-0.0064,all,0.05
any_pair,-0.0069,all,0.05
any_pair,0.0343,all,0.05
any_pair,-0.005,all,0.05
any_pair,-0.0546,all,0.05
any_pair,0.0086,all,0.05
any_pair,0.0147,all,0.05
any_pair,0.0315,all,0.05
any_pair,-0.0063,all,0.05
any_pair,0.0697,all,0.05
any_pair,0.1149,all,0.05
any_pair,0.0293,all,0.05
any_pair,-0.004,all,0.05
any_pair,0.0518,all,0.05
any_pair,0.0055,all,0.05
any_pair,0.0015,all,0.05
any_pair,0.0143,all,0.05
any_pair,0.0211,all,0.05
any_pair,0.0135,all,0.05
any_pair,0.0211,all,0.05
any_pair,0.025,all,0.05
any_pair,-0.0154,all,0.05
any_pair,0.0568,all,0.05
any_pair,-0.0149,all,0.05
any_pair,0.0477,all,0.05
any_pair,0.0087,all,0.05
any_pair,0.0291,all,0.05
any_pair,-0.0169,all,0.05
any_pair,0.0374,all,0.05
any_pair,0.1139,all,0.05
any_pair,0.0095,all,0.05
any_pair,-0.016,all,0.05
any_pair,0.029,all,0.05
any_pair,-0.0198,all,0.05
any_pair,0.0757,all,0.05
any_pair,0.0133,all,0.05
any_pair,0.1322,all,0.05
any_pair,-0.0101,all,0.05
any_pair,0.0244,all,0.05
any_pair,0.0177,all,0.05
any_pair,0.0051,all,0.05
any_pair,0.0338,all,0.05
any_pair,0.0209,all,0.05
any_pair,0.0204,all,0.05
any_pair,0.0387,all,0.05
any_pair,0.0154,all,0.05
any_pair,0.0675,all,0.05
any_pair,0.0013,all,0.05
any_pair,0.0545,all,0.05
any_pair,0.0386,all,0.05
any_pair,0.0038,all,0.05
any_pair,0.0242,all,0.05
any_pair,0.0291,all,0.05
any_pair,0.0255,all,0.05
any_pair,0.0088,all,0.05
any_pair,0.0222,all,0.05
any_pair,0.0039,all,0.05
any_pair,0.0424,all,0.05
any_pair,0.014,all,0.05
any_pair,0.1085,all,0.05
any_pair,0.0277,all,0.05
any_pair,0.0708,all,0.05
any_pair,0.0786,all,0.05
any_pair,-0.0018,all,0.05
any_pair,-0.0166,all,0.05
any_pair,0.0642,all,0.05
any_pair,0.0278,all,0.05
any_pair,-0.0102,all,0.05
any_pair,0.0219,all,0.05
any_pair,-0.0011,all,0.05
any_pair,0.0172,all,0.05
any_pair,0.0098,all,0.05
any_pair,0.0265,all,0.05
any_pair,0.011,all,0.05
any_pair,0.0036,all,0.05
any_pair,0.0189,all,0.05
any_pair,0.0167,all,0.05
any_pair,0.0902,all,0.05
any_pair,0.0421,all,0.05
any_pair,0.0135,all,0.05
any_pair,0.0221,all,0.05
any_pair,-0.0201,all,0.05
any_pair,0.041,all,0.05
any_pair,-0.0258,all,0.05
any_pair,-0.0272,all,0.05
any_pair,0.1556,all,0.05
any_pair,0.1003,all,0.05
any_pair,-0.0009,all,0.05
any_pair,0.1412,all,0.05
any_pair,0.0302,all,0.05
any_pair,0.006,all,0.05
any_pair,0.0222,all,0.05
any_pair,0.0126,all,0.05
any_pair,0.076,all,0.05
any_pair,0.0396,all,0.05
any_pair,-0.005,all,0.05
any_pair,-0.0081,all,0.05
any_pair,0.0258,all,0.05
any_pair,0.0086,all,0.05
any_pair,0.023,all,0.05
any_pair,0.0149,all,0.05
any_pair,0.1469,all,0.05
any_pair,0.0643,all,0.05
any_pair,-0.0177,all,0.05
any_pair,-0.0245,all,0.05
any_pair,0.0096,all,0.05
any_pair,0.0142,all,0.05
any_pair,-0.0245,all,0.05
any_pair,0.0362,all,0.05
any_pair,0.0484,all,0.05
any_pair,0.0159,all,0.05
any_pair,0.0402,all,0.05
any_pair,0.0211,all,0.05
any_pair,0.0548,all,0.05
any_pair,0.0147,all,0.05
any_pair,0.0527,all,0.05
any_pair,-0.0215,all,0.05
any_pair,-0.0013,all,0.05
any_pair,0.029,all,0.05
any_pair,0.0199,all,0.05
any_pair,-0.0008,all,0.05
any_pair,0.0248,all,0.05
any_pair,0.0753,all,0.05
any_pair,0.0223,all,0.05
any_pair,0.034,all,0.05
any_pair,0.0008,all,0.05
any_pair,0.0184,all,0.05
any_pair,0.045,all,0.05
any_pair,0.0551,all,0.05
any_pair,0.0166,all,0.05
any_pair,-0.0033,all,0.05
any_pair,0.0495,all,0.05
any_pair,0.1521,all,0.05
any_pair,-0.0145,all,0.05
any_pair,0.1317,all,0.05
any_pair,0.0157,all,0.05
any_pair,-0.0074,all,0.05
any_pair,-0.0129,all,0.05
any_pair,0.0265,all,0.05
any_pair,0.0093,all,0.05
any_pair,0.0255,all,0.05
any_pair,0.0211,all,0.05
any_pair,-0.0184,all,0.05
diff_drug,0.0156,all,0.05
diff_drug,0.0013,all,0.05
diff_drug,0.0628,all,0.05
diff_drug,-0.0258,all,0.05
diff_drug,0.0723,all,0.05
diff_drug,0.0152,all,0.05
diff_drug,-0.011,all,0.05
diff_drug,0.0296,all,0.05
diff_drug,0.0075,all,0.05
diff_drug,-0.0253,all,0.05
diff_drug,0.0274,all,0.05
diff_drug,0.0327,all,0.05
diff_drug,0.0222,all,0.05
diff_drug,0.0025,all,0.05
diff_drug,0.0419,all,0.05
diff_drug,0.0265,all,0.05
diff_drug,0.0151,all,0.05
diff_drug,-0.0067,all,0.05
diff_drug,0.0121,all,0.05
diff_drug,0.0753,all,0.05
diff_drug,0.0278,all,0.05
diff_drug,-0.0099,all,0.05
diff_drug,0.0461,all,0.05
diff_drug,0.0425,all,0.05
diff_drug,0.0286,all,0.05
diff_drug,-0.0087,all,0.05
diff_drug,0.0422,all,0.05
diff_drug,-0.0188,all,0.05
diff_drug,0.0129,all,0.05
diff_drug,0.0097,all,0.05
diff_drug,0.0221,all,0.05
diff_drug,0.0286,all,0.05
diff_drug,-0.0268,all,0.05
diff_drug,-0.0151,all,0.05
diff_drug,0.014,all,0.05
diff_drug,0.0199,all,0.05
diff_drug,0.0213,all,0.05
diff_drug,-0.0038,all,0.05
diff_drug,0.0383,all,0.05
diff_drug,0.0712,all,0.05
diff_drug,0.0294,all,0.05
diff_drug,0.0082,all,0.05
diff_drug,0.0079,all,0.05
diff_drug,-0.0088,all,0.05
diff_drug,0.0276,all,0.05
diff_drug,-0.0028,all,0.05
diff_drug,0.01,all,0.05
diff_drug,0.0338,all,0.05
diff_drug,0.0095,all,0.05
diff_drug,0.0056,all,0.05
diff_drug,0.0148,all,0.05
diff_drug,-0.0038,all,0.05
diff_drug,-0.0024,all,0.05
diff_drug,0.0061,all,0.05
diff_drug,0.0271,all,0.05
diff_drug,0.0681,all,0.05
diff_drug,0.0346,all,0.05
diff_drug,0.0216,all,0.05
diff_drug,0.0448,all,0.05
diff_drug,0.0099,all,0.05
diff_drug,0.0835,all,0.05
diff_drug,0.0224,all,0.05
diff_drug,0.0052,all,0.05
diff_drug,0.0608,all,0.05
diff_drug,0.0232,all,0.05
diff_drug,0.0159,all,0.05
diff_drug,0.0084,all,0.05
diff_drug,-0.0085,all,0.05
diff_drug,0.0077,all,0.05
diff_drug,0.0212,all,0.05
diff_drug,0.0244,all,0.05
diff_drug,0.0339,all,0.05
diff_drug,-0.0042,all,0.05
diff_drug,-0.0072,all,0.05
diff_drug,0.0082,all,0.05
diff_drug,0.0131,all,0.05
diff_drug,0.0004,all,0.05
diff_drug,-0.0169,all,0.05
diff_drug,-0.0039,all,0.05
diff_drug,0.0469,all,0.05
diff_drug,0.1588,all,0.05
diff_drug,-0.0178,all,0.05
diff_drug,-0.0001,all,0.05
diff_drug,0.0281,all,0.05
diff_drug,0.0028,all,0.05
diff_drug,0.0282,all,0.05
diff_drug,0.023,all,0.05
diff_drug,0.0064,all,0.05
diff_drug,0.0057,all,0.05
diff_drug,-0.0137,all,0.05
diff_drug,0.0248,all,0.05
diff_drug,0.0354,all,0.05
diff_drug,0.0075,all,0.05
diff_drug,0.0365,all,0.05
diff_drug,0.0095,all,0.05
diff_drug,0.102,all,0.05
diff_drug,0.0345,all,0.05
diff_drug,0.0236,all,0.05
diff_drug,0.0159,all,0.05
diff_drug,0.0362,all,0.05
diff_drug,0.1039,all,0.05
diff_drug,0.0282,all,0.05
diff_drug,0.0069,all,0.05
diff_drug,0.0081,all,0.05
diff_drug,-0.0006,all,0.05
diff_drug,-0.0159,all,0.05
diff_drug,0.1157,all,0.05
diff_drug,0.0127,all,0.05
diff_drug,0.012,all,0.05
diff_drug,0.0293,all,0.05
diff_drug,0.0679,all,0.05
diff_drug,0.0116,all,0.05
diff_drug,0.0108,all,0.05
diff_drug,0.0593,all,0.05
diff_drug,-0.0123,all,0.05
diff_drug,0.0453,all,0.05
diff_drug,0.0063,all,0.05
diff_drug,0.0882,all,0.05
diff_drug,-0.0253,all,0.05
diff_drug,0.044,all,0.05
diff_drug,0.0352,all,0.05
diff_drug,-0.023,all,0.05
diff_drug,-0.0003,all,0.05
diff_drug,0.0204,all,0.05
diff_drug,0.0024,all,0.05
diff_drug,-0.0049,all,0.05
diff_drug,0.0204,all,0.05
diff_drug,0.0231,all,0.05
diff_drug,-0.0206,all,0.05
diff_drug,0.0714,all,0.05
diff_drug,-0.0265,all,0.05
diff_drug,0.0217,all,0.05
diff_drug,0.0051,all,0.05
diff_drug,0.0552,all,0.05
diff_drug,0.0232,all,0.05
diff_drug,0.0473,all,0.05
diff_drug,0.0056,all,0.05
diff_drug,0.0254,all,0.05
diff_drug,-0.015,all,0.05
diff_drug,0.0157,all,0.05
diff_drug,0.0454,all,0.05
diff_drug,0.011,all,0.05
diff_drug,0.0066,all,0.05
diff_drug,0.0103,all,0.05
diff_drug,-0.013,all,0.05
diff_drug,-0.01,all,0.05
diff_drug,-0.0177,all,0.05
diff_drug,0.0173,all,0.05
diff_drug,0.0422,all,0.05
diff_drug,0.0131,all,0.05
diff_drug,0.0512,all,0.05
diff_drug,0.0235,all,0.05
diff_drug,-0.0246,all,0.05
diff_drug,0.0206,all,0.05
diff_drug,-0.0444,all,0.05
diff_drug,0.0121,all,0.05
diff_drug,-0.0213,all,0.05
diff_drug,0.0081,all,0.05
diff_drug,0.009,all,0.05
diff_drug,0.0198,all,0.05
diff_drug,-0.0015,all,0.05
diff_drug,0.0305,all,0.05
diff_drug,-0.0196,all,0.05
diff_drug,0.0109,all,0.05
diff_drug,0.0314,all,0.05
diff_drug,0.0098,all,0.05
diff_drug,0.0167,all,0.05
diff_drug,0.043,all,0.05
diff_drug,0.0094,all,0.05
diff_drug,0.0052,all,0.05
diff_drug,-0.035,all,0.05
diff_drug,-0.0181,all,0.05
diff_drug,0.0369,all,0.05
diff_drug,0.0125,all,0.05
diff_drug,-0.0116,all,0.05
diff_drug,0.1096,all,0.05
diff_drug,0.0154,all,0.05
diff_drug,-0.0028,all,0.05
diff_drug,0.042,all,0.05
diff_drug,0.0073,all,0.05
diff_drug,0.0235,all,0.05
diff_drug,0.0293,all,0.05
diff_drug,0.0374,all,0.05
diff_drug,0.0547,all,0.05
diff_drug,0.0054,all,0.05
diff_drug,0.0561,all,0.05
diff_drug,0.0256,all,0.05
diff_drug,-0.0167,all,0.05
diff_drug,0.0067,all,0.05
diff_drug,-0.0013,all,0.05
diff_drug,0.0241,all,0.05
diff_drug,-0.0136,all,0.05
diff_drug,0.0244,all,0.05
diff_drug,0.0198,all,0.05
diff_drug,0.03,all,0.05
diff_drug,0.0209,all,0.05
diff_drug,0.0291,all,0.05
diff_drug,-0.0304,all,0.05
diff_drug,0.0089,all,0.05
diff_drug,-0.0135,all,0.05
diff_drug,0.0213,all,0.05
diff_drug,0.0102,all,0.05
diff_drug,0.0219,all,0.05
diff_drug,0.0011,all,0.05
diff_drug,0.0104,all,0.05
diff_drug,0.0084,all,0.05
diff_drug,0.0106,all,0.05
diff_drug,0.0187,all,0.05
diff_drug,0.0068,all,0.05
diff_drug,-0.0018,all,0.05
diff_drug,-0.0066,all,0.05
diff_drug,0.0403,all,0.05
diff_drug,-0.0235,all,0.05
diff_drug,0.0037,all,0.05
diff_drug,-0.0036,all,0.05
diff_drug,0.0278,all,0.05
diff_drug,0.0618,all,0.05
diff_drug,0.0123,all,0.05
diff_drug,0.0343,all,0.05
diff_drug,0.0059,all,0.05
diff_drug,-0.013,all,0.05
diff_drug,-0.0018,all,0.05
diff_drug,0.1041,all,0.05
diff_drug,-0.0051,all,0.05
diff_drug,0.0116,all,0.05
diff_drug,0.0491,all,0.05
diff_drug,-0.0093,all,0.05
diff_drug,0.059,all,0.05
diff_drug,-0.0042,all,0.05
diff_drug,0.0013,all,0.05
diff_drug,0.0448,all,0.05
diff_drug,0.0894,all,0.05
diff_drug,-0.0359,all,0.05
diff_drug,0.0031,all,0.05
diff_drug,0.0286,all,0.05
diff_drug,0.06,all,0.05
diff_drug,0.0077,all,0.05
diff_drug,0.1146,all,0.05
diff_drug,0.0211,all,0.05
diff_drug,-0.0107,all,0.05
diff_drug,0.0798,all,0.05
diff_drug,0.0055,all,0.05
diff_drug,0.0011,all,0.05
diff_drug,0.0186,all,0.05
diff_drug,0.0017,all,0.05
diff_drug,0.1034,all,0.05
diff_drug,0.0235,all,0.05
diff_drug,0.0139,all,0.05
diff_drug,0.0199,all,0.05
diff_drug,-0.0227,all,0.05
diff_drug,0.0238,all,0.05
diff_drug,0.0166,all,0.05
diff_drug,-0.0186,all,0.05
diff_drug,0.0588,all,0.05
diff_drug,0.0052,all,0.05
diff_drug,0.0513,all,0.05
diff_drug,-0.022,all,0.05
diff_drug,0.0137,all,0.05
diff_drug,-0.0205,all,0.05
diff_drug,0.0182,all,0.05
diff_drug,0.0118,all,0.05
diff_drug,0.0177,all,0.05
diff_drug,0.0161,all,0.05
diff_drug,0.0601,all,0.05
diff_drug,0.0016,all,0.05
diff_drug,0.0143,all,0.05
diff_drug,0.0503,all,0.05
diff_drug,0.0623,all,0.05
diff_drug,0.0211,all,0.05
diff_drug,0.0065,all,0.05
diff_drug,-0.0089,all,0.05
diff_drug,-0.0199,all,0.05
diff_drug,0.0043,all,0.05
diff_drug,0.0385,all,0.05
diff_drug,0.0354,all,0.05
diff_drug,0.0151,all,0.05
diff_drug,0.0365,all,0.05
diff_drug,0.006,all,0.05
diff_drug,-0.0081,all,0.05
diff_drug,0.0173,all,0.05
diff_drug,0.0399,all,0.05
diff_drug,0.0031,all,0.05
diff_drug,-0.0067,all,0.05
diff_drug,0.0368,all,0.05
diff_drug,0.0521,all,0.05
diff_drug,0.0175,all,0.05
diff_drug,0.0111,all,0.05
diff_drug,0.0014,all,0.05
diff_drug,0.0726,all,0.05
diff_drug,-0.0049,all,0.05
diff_drug,0.038,all,0.05
diff_drug,0.0296,all,0.05
diff_drug,0.0019,all,0.05
diff_drug,0.0418,all,0.05
diff_drug,-0.0121,all,0.05
diff_drug,-0.006,all,0.05
diff_drug,-0.036,all,0.05
diff_drug,-0.0022,all,0.05
diff_drug,0.0386,all,0.05
diff_drug,0.0276,all,0.05
diff_drug,0.073,all,0.05
diff_drug,0.031,all,0.05
diff_drug,-0.0109,all,0.05
diff_drug,0.0222,all,0.05
diff_drug,-0.005,all,0.05
diff_drug,0.0716,all,0.05
diff_drug,0.0375,all,0.05
diff_drug,-0.0045,all,0.05
diff_drug,0.0237,all,0.05
diff_drug,0.026,all,0.05
diff_drug,0.0232,all,0.05
diff_drug,0.0066,all,0.05
diff_drug,0.004,all,0.05
diff_drug,0.0479,all,0.05
diff_drug,0.0538,all,0.05
diff_drug,0.0325,all,0.05
diff_drug,0.0588,all,0.05
diff_drug,0.0016,all,0.05
diff_drug,0.0174,all,0.05
diff_drug,0.0319,all,0.05
diff_drug,-0.0055,all,0.05
diff_drug,0.0843,all,0.05
diff_drug,0.1175,all,0.05
diff_drug,0.0296,all,0.05
diff_drug,0.0403,all,0.05
diff_drug,0.0315,all,0.05
diff_drug,0.1419,all,0.05
diff_drug,-0.0162,all,0.05
diff_drug,0.0205,all,0.05
diff_drug,0.0081,all,0.05
diff_drug,0.0357,all,0.05
diff_drug,0.0186,all,0.05
diff_drug,0.0191,all,0.05
diff_drug,0.0068,all,0.05
diff_drug,0.077,all,0.05
diff_drug,0.1416,all,0.05
diff_drug,0.0063,all,0.05
diff_drug,-0.0196,all,0.05
diff_drug,0.0155,all,0.05
diff_drug,0.0156,all,0.05
diff_drug,0.0339,all,0.05
diff_drug,0.0286,all,0.05
diff_drug,0.0303,all,0.05
